file	start	end	angles
src-app/server/src/modules/chat/core/handlers/messages.rs	5	9	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/handlers/messages.rs	17	20	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/handlers/messages.rs	31	36	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/handlers/messages.rs	39	39	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/handlers/messages.rs	41	42	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/handlers/messages.rs	44	47	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/handlers/messages.rs	56	58	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/handlers/messages.rs	60	68	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/handlers/messages.rs	75	148	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/repository/core.rs	157	178	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/repository/messages.rs	9	10	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/repository/messages.rs	167	516	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/routes.rs	39	45	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/types/message.rs	5	5	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/types/message.rs	7	7	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/types/message.rs	9	9	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/types/message.rs	20	347	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/chat/core/types/mod.rs	15	19	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/components/ui/testIds.generated.ts	2	2	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/components/ui/testIds.generated.ts	130	130	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/components/ui/testIds.generated.ts	183	184	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/STATE_MATRIX.md	11	11	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/STATE_MATRIX.md	19	19	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/STATE_MATRIX.md	939	939	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/STATE_MATRIX.md	943	952	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1005	1006	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1209	1228	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/fixtures/chat.ts	54	98	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/stateCoverage.ts	56	64	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
