file	start	end	angles
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	23	2075	correctness,concurrency,state-management,error-handling,api-contract,perf
src-app/ui/src/modules/chat/core/stores/messageWindow.ts	72	98	correctness,patterns-conformance,tests-quality
src-app/ui/src/modules/chat/components/emptyCompletion.ts	40	58	correctness,regression,patterns-conformance
src-app/ui/src/modules/chat/components/ChatMessage.tsx	24	83	precedent-fidelity,state-management,regression
src-app/ui/src/modules/chat/components/MessageList.tsx	96	589	precedent-fidelity,perf,state-management
src-app/ui/src/modules/chat/core/stores/messageWindow.test.ts	5	156	tests-quality,patterns-conformance,correctness
src-app/ui/src/modules/chat/components/emptyCompletion.test.ts	63	122	tests-quality,regression,correctness
src-app/ui/tests/e2e/chat/streaming-handoff-no-flicker.spec.ts	1	159	tests-quality,patterns-conformance,plan-coverage
src-app/ui/src/dev/gallery/STATE_MATRIX.md	913	1039	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	797	914	patterns-conformance,correctness,tests-quality
